Prompt,Response,Actual Answer
"Petitioners are the owners of 31 residential real estate parcels in Indianapolis, Indiana, who were assessed approximately $9,000 each for connection to a public sewer system. Petitioners paid their assessments in full, while their neighbors-owners of approximately 150 other parcels-elected to pay in monthly installments over 10, 20, or 30 years. Shortly thereafter, the City adopted a new assessment scheme that vastly reduced each taxpayer's burden. The City forgave the outstanding balances of those taxpayers who were paying in installments, but it refused to refund payments made by those who had already paid in full. The Indiana Supreme Court-in conflict with decisions of a federal court holding the very same conduct unconstitutional and other state high courts-held that this action did not violate the Equal Protection Clause, even though it allowed the City to retain from each petitioner 30 times as much in assessed taxes as identically situated owners paid. In so holding, the 3-2 majority of the Indiana Supreme Court dismissed this Court's unanimous decision in Allegheny Pittsburgh Coal Co. v. County Commission, 488 U.S. 336 (1989), as ""narrowed to its facts."" App. 28a.
Whether the Equal Protection Clause precludes a local taxing authority from refusing to refund payments made by those who have paid their assessments in full, while forgiving the obligations of identically situated taxpayers who chose to pay over a multi-year installment plan.",3,3
"The courts of appeals are divided about the jurisdiction of district courts to entertain Fed. R. Civ. P. 60(b) motions in habeas corpus cases. Seven circuits address the continuing viability of Rule 60(b) on a flexible case-by-case basis, while three circuits, including the Eleventh Circuit below, hold that AEDP A erects a bright line jurisdictional bar to Rule 60(b) motions in habeas corpus proceedings. The conflict among the circuits has exacerbated since the Court dismissed as improvidently granted Abdur'Rahman v. Bell, 537 U.S. 88 (2002). The instant petition replicates for the Court's consideration the questions left unanswered in Abdur'Rahman, without the procedural and jurisdictional difficulties that caused it to be dismissed:
Whether the court of appeals erred in holding that every Rule 60(b) motion (other than for fraud under (b)(3)) constitutes a prohibited ""second or successive"" petition as a matter of law, in square conflict with decisions of this Court and of other circuits.",3,2
"Whether the Beef Promotion and Research Act of 1985 (Beef Act), 7 U.S.C. 2901 et seq., and the implementing Beef Promotion and Research Order (Beef Order), 7 C.F.R. Part 1260, violate the First Amendment insofar as they require cattle producers to pay assessments to fund generic advertising with which they disagree.",0,0
"Employee benefit plans often cover a participant's medical bills in the event of injury but require that, if the participant obtains compensation from a third party for that injury, he or she reimburse the plan in full. Under Section 502(a)(3) of the Employee Retirement Income Security Act (""ERISA""), plans may enforce these reimbursement provisions in court by seeking ""appropriate equitable relief” to enforce ""the terms of the plan."" 29 U.S.C. § 1132(a)(3). Twice in recent years this Court has resolved disputes about how Section 502(a)(3) works in reimbursement actions. In the more recent case, Sereboff v. Mid Atlantic Medical Services, Inc., 547 U.S. 356 (2006), the Court expressly reserved a third question about the provision. The Third Circuit, in its words, has now ""squarely"" answered ""the question that Sereboff left open,"" Pet. App. 9a, and has done so in a way that, as it acknowledged, splits the circuits.
Whether the Third Circuit correctly held-in conflict with the Fifth, Seventh, Eighth, Eleventh, and D.C. Circuits-that ERISA Section 502(a)(3) authorizes courts to use equitable principles to rewrite contractual language and refuse to order participants to reimburse their plan for benefits paid, even where the plan's terms give it an absolute right to full reimbursement.",1,1
"Under  federal  law,  a  person  who  is  convicted  of  a  felony  is  prohibited  from possessing  firearms.  The  Secretary  of  the  Treasury,  acting  through  the  Bureau  of Alcohol, Tobacco, and Firearms (ATF), may grant relief from that prohibition if it is established  to  his  satisfaction  that  certain  preconditions  are  established.    See  18 U.S.C. 925(c). Since 1992, however, every appropriations law for ATF has specified that ATF may not expend any appropriated funds to act upon applications for such relief.
The question presented is whether, despite that appropriations provision barring ATF from acting on such applications, a federal district court has authority to grant relief from firearms disabilities to persons convicted of a felony.",2,2
"In Lindh v. Murphy, 521 U.S. 320 (1997), this Court held that the Antiterrorism and Effective Death Penalty Act (AEDPA) (28 U.S.C. § 2241, etseq.) did not apply to cases which commenced prior to the AEDPA ' s April 24, 1996, effective date. The circuits are split as to when a capital case commences for purposes of triggering the AEDPA. With one exception, all the circuits to consider the issue have found the AEDPA applies if the actual petition was filed on or after the AEDPA's effective date. However, in the Ninth Circuit, the AEDPA does not apply to a federal petition filed on or after April 24, 1996, if motions for appointment of counsel and stay of execution were filed before that date. Calderon v. United States District Court (Kelly), 163 F.3d 530 (9th Cir. 1998) (en banc ).
What is the correct trigger event for the application of the AEDPA in capital cases?",3,3
"The courts of appeals are deeply divided as to whether, when conducting the Fifth Amendment collateral estoppel analysis set out by this court in Ashe v. Swenson, 397 U.S. 436 (1970), a court should consider the jury's failure to reach a verdict on some counts. The issue presented here is:
Whether, when a jury acquits a defendant on multiple counts but fails to reach a verdict on other counts that share a common element, and, after a complete review of the record, the court of appeals determines that the only rational basis for the acquittals is that an essential element of the hung counts was determined in the defendant's favor, collateral estoppel bars a retrial on the hung counts.",1,0
"Does this Court's decision in Mills v. Maryland, 486 U.S. 367 (1988), constitute a new rule of law that cannot be applied retroactively to award sentencing relief to a prisoner whose conviction became final before Mills was announced?",2,2
"Whether a party has an immediate appeal under the collateral order doctrine, as set forth in Cohen v. Beneficial Industrial Loan Corp., 337 U.S. 541 (1949), of a district court's order finding waiver of the attorney-client privilege and compelling production of privileged materials.",3,3
Whether a district court's denial of a criminal defendant's qualified right to be represented by counsel of choice requires automatic reversal of his conviction.,1,1
"Whether a case becomes moot, and thus beyond the judicial power of Article III, when the lone plaintiff receives an offer from the defendants to satisfy all of the plaintiff's claims.",2,2
"Whether the Federal Arbitration Act preempts States from conditioning the enforcement of an arbitration agreement on the availability of particular procedures--here, class-wide arbitration--when those procedures are not necessary to ensure that the parties to the arbitration agreement are able to vindicate their claims.",0,0
"The court below interpreted 18 U.S.C. § 16 to include DUI with serious bodily injury as a ""crime of violence""--and therefore an ""aggravated felony"" as defined under § 101(a)(43)(F) of the Immigration and Nationality Act (""INA"")--where the statute under which Petitioner was convicted required nothing more than negligence for conviction. That ruling conflicts with decisions of other United States Courts of Appeals and with the interpretation of the Board of Immigration Appeals (""BIA "" or ""Board""). The question presented is as follows:
Whether, in the absence of a mens rea of at least recklessness with respect to the active application of force against another, DUI with serious bodily injury is a ""crime of violence"" under 18 U.S.C. § 16 that constitutes an ""aggravated felony"" under § 101 of the INA ?",1,3
"QUESTION PRESENTED:

I.          
Does Mr. Reynolds have standing under the plain reading of the S.O.R.N.A. statute to raise claims concerning the Attorney General's interim rule and is review by this court needed to resolve the circuit conflict?",0,0
"Under the Prison Litigation Reform Act, a prisoner cannot bring suit to challenge prison conditions under federal law ""until such administrative remedies as are available are exhausted."" 42 U.S.C. § 1997e(a). This exhaustion requirement is not subject to ""futility or other exceptions,"" Booth v. Churner, 532 U.S. 731, 746 n.6 (2001), and may not be waived by a district court, Porter v. Nussle, 534 U.S. 516, 524 (2002). This case presents the following question:
Does a prisoner satisfy the Prison Litigation Reform Act's administrative-exhaustion requirement by filing an untimely or otherwise procedurally defective administrative appeal?",3,3
"The federal courts of appeals have long recognized the ""ministerial exception,"" a First Amendment doctrine that bars most employment-related lawsuits brought against religious organizations by employees performing religious functions. The circuits are in complete agreement about the core applications of this doctrine to pastors, priests, and rabbis. But they are evenly divided over the boundaries of the ministerial exception when applied to other employees. The question presented is:
Whether the ministerial exception applies to a teacher at a religious elementary school who teaches the full secular curriculum, but also teaches daily religion classes, is a commissioned minister, and regularly leads students in prayer and worship.",1,1
"Whether the offense of aiding and abetting the use of a firearm during and in relation to a crime of violence or drug trafficking crime, in violation of 18 U.S.C. §§ 924(c)(1)(A) and 2, requires proof of (i) intentional facilitation or encouragement of the use of the firearm, as held by the First, Second, Third, Fifth, Seventh, Eighth, Ninth, and Eleventh Circuits, or (ii) simple knowledge that the principal used a firearm during a crime of violence or drug trafficking crime in which the defendant also participated, as held by the Sixth, Tenth, and District of Columbia Circuits.",0,0
"Section 1920 of 28 U.S.C. sets out the categories of costs that may be awarded to the prevailing party in a federal lawsuit. One of the listed categories is ""compensation of interpreters."" Id. § 1920(6).
The question presented is whether costs incurred in translating written documents are ""compensation of interpreters"" for purposes of section 1920(6).",3,3
"Whether Indianapolis v. Edmond, 531 U.S. 32 (2000), prohibits police officers from conducting  a  checkpoint  organized  to  investigate  a  prior  offense,  at  which checkpoint law enforcement officers briefly stopped all oncoming motorists to hand out flyers about―and look for witnesses to―the offense, where the checkpoint was conducted exactly one week after―and at approximately the same time of day as―the offense, and where the checkpoint otherwise met the reasonableness standard articulated in Brown v. Texas, 443 U.S. 47 (1979).",4,4
"The Immigration and Nationality Act (INA) prohibits the Secretary of Homeland Security and the Attorney General from granting asylum to, or withholding removal of, a refugee who has “ordered, incited, assisted, or otherwise participated in the persecution of any person on account of race, religion, nationality, membership in a particular social group, or political opinion.” INA § 208(b)(2)(A), 8 U.S.C. § 1158(b)(2)(A). The question presented is:
Whether this “persecutor exception” prohibits granting asylum to, and withholding of removal of, a refugee who is compelled against his will by credible threats of death or torture to assist or participate in acts of persecution.",1,3
"Petitioners, two Secret Service agents on protective detail, arrested respondent following an encounter with Vice President Richard Cheney. Petitioners had probable cause to arrest respondent, who in violation of 18 U.S.C. § 1001 falsely denied making unsolicited physical contact with the Vice President. Respondent thereafter brought a First Amendment retaliatory arrest claim against petitioners. The questions presented are:
Whether, as the Tenth Circuit siding with the Ninth Circuit held here, the existence of probable cause to make an arrest does not bar a First Amendment retaliatory arrest claim; or whether, as the Second, Sixth, Eighth, and Eleventh Circuits have held, probable cause bars such a claim, including under Hartman v. Moore, 547 U.S. 250 (2006).",0,0
"The Michigan Constitution, Mich Const 1963, art I, §20, provides that a criminal defendant who pleads guilty shall not have an appeal of right and shall have a right to appointed appellate counsel 'as provided by law'. A Michigan statute, Michigan Compiled Law (MCL) 770.3a, provides, with significant listed exceptions, that criminal defendants who plead guilty shall not have appointed appellate counsel for discretionary appeals for review of the defendant's conviction or sentence.
Does the Fourteenth Amendment guarantee a right to an appointed appellate attorney in a discretionary first appeal of an indigent criminal defendant convicted by a guilty plea?",1,4
"Whether the Sixth Circuit erred by holding that Respondents were not required to plausibly allege in their complaint that the fiduciaries of an employee stock ownership plan (""ESOP"") abused their discretion by remaining invested in employer stock, in order to overcome the presumption that their decision to invest in employer stock was reasonable, as required by the Employee Retirement Income Security Act of 1974, 29 U.S.C. §§ 1101, et seq. (""ERISA""), and every other circuit to address the issue.",4,4
"IN ADDITION TO THE QUESTION PRESENTED BY THE PETITION, THE PARTIES ARE DIRECTED TO BRIEF AND ARGUE THE FOLLOWING QUESTION: ""WHETHER SECTION 214 OF THE FOREIGN RELATIONS AUTHORIZATION ACT, FISCAL YEAR 2003, IMPERMISSIBLY INFRINGES THE PRESIDENT'S POWER TO RECOGNIZE FOREIGN SOVEREIGNS.""
Whether the “political question doctrine” deprives a federal court of jurisdiction to enforce a federal statute that explicitly directs the Secretary of State how to record the birthplace of an American citizen on a Consular Report of Birth Abroad and on a passport.",1,4
"Whether the plain meaning of the operative phrase ""causes dilution of the distinctive quality of the mark,"" read in pari materia with the definition of dilution as ""the lessening of the capacity of a famous mark to identify and distinguish goods and services,"" requires objective proof of actual injury to the economic value of the famous mark (as opposed to a presumption of harm arising from a subjective ""likelihood of dilution"" standard) as a precondition to any and all relief under the Federal Trademark Dilution Act.",1,4
Whether local governmental entities are subject to qui tam actions under the False Claims Act. 3l U.S.C. § 3729.,2,1
"The question presented is whether a district court may certify a class action without resolving 'merits arguments' that bear on Rule 23's prerequisites for certification, including whether purportedly common issues predominate over individual ones under Rule 23(b)(3).
Whether a district court may certify a class action without resolving whether the plaintiff class has introduced admissible evidence, including expert testimony, to show that the case is susceptible to awarding damages on a class-wide basis.",3,1
"Which, if any, state law crop injury claims are preempted by the Federal Insecticide, Fungicide, and Rodenticide Act, 7 U.S.C. §§ 136-137?",2,4
"Petitioner and Respondent entered into a contract that included a provision that Petitioner is entitled to recover its attorneys’ fees incurred in connection with the enforcement, protection, or litigation of its contractual and legal rights. Petitioner incurred attorneys’ fees litigating its rights during the course of Respondent’s bankruptcy case and sought to recover them from Respondent. Adhering to its prior decision in Fobian v. Western Farm Credit Bank (In re Fobian), 951 F.2d 1149 (9th Cir. 1991), the Ninth Circuit held that Petitioner could not recover its attorneys’ fees because the relevant litigation in the bankruptcy court involved issues of federal bankruptcy law. The court reasoned that, as a matter of general federal common law, a party may not recover its attorneys’ fees pursuant to a contract or state statute where the issues litigated involve matters of federal law because only federal law may authorize such a recovery.
Should the Court grant certiorari to resolve a conflict among nine courts of appeals concerning whether a litigant may recover attorneys’ fees under a contract or state statute where the issues litigated involve matters of federal bankruptcy law?",2,2
"The Hague Convention on International Child Abduction requires a country to return a child who has been ""wrongfully removed"" from his country of habitual residence. Hague Convention art. 12. A “wrongful removal"" is one that occurs ""in breach of rights of custody."" Id. art. 3. The question presented is:
Whether a ne exeat clause (that is, a clause that prohibits one parent from removing a child from the country without the other parent's consent) confers a ""right of custody"" within the meaning of the Hague Convention on International Child Abduction.",1,1
"In Phillips v. Washington Legal Found. , 524 U .S. 156 (1998), the Court held that the interest on clients' funds held in so-called IOLTA accounts (""Interest on Lawyers' Trust Accounts"") was the property of the clients. This case presents two questions:
Whether the regulatory scheme for funding state legal services by systematically seizing this property violates the Takings Clause of the Fifth Amendment to the Constitution so that the property owners are entitled to relief.",1,2
"The Religious Freedom Restoration Act of 1993 (RFRA), 42 U.S.C. 2000bb et seq., provides that the government ""shall not substantially burden a person's exercise of religion"" unless that burden is the least restrictive means to further a compelling governmental interest. 42 U.S.C. 2000bb-1(a) and (b). The question presented is whether RFRA allows a for-profit corporation to deny its employees the health coverage of contraceptives to which the employees are otherwise entitled by federal law, based on the religious objections of the corporation's owners.",4,2
"Whether Congress had the constitutional authority to enact 18 U.S.C. 4248, which authorizes court-ordered civil commitment by the federal government of (1) ""sexually dangerous"" persons who are already in the custody of the Bureau of Prisons, but who are coming to the end of their federal prison sentences, and (2) ""sexually dangerous"" persons who are in the custody of the Attorney General because they have been found mentally incompetent to stand trial.",1,1
"Stromberg v. California, 283 U.S. 359 (1931), required the reversal of the judgment if a general verdict could have rested on an instruction that defined a constitutionally defective alternative theory of criminal liability. However, a modern line of cases, including Neder v. United States, 527 U.S. 1 (1999), establishes that error in instructing on an element of a charged crime is not “structural error,” so as to require automatic reversal, but is instead “trial error” and, as such, may be harmless. The question presented is:
Did the Ninth Circuit fail to conform to “clearly established” Supreme Court law, as required by 28 U.S.C. § 2254(d), when it granted habeas corpus relief by deeming an erroneous instruction on one of two alternative theories of guilt to be “structural error” requiring reversal because the jury might have relied on it?",4,3
"1. Whether §4(a) of the Voting Rights Act, which permits ""political subdivisions"" of a State covered by §5's requirement that certain jurisdictions preclear changes affecting voting with the federal government to bail out of §5 coverage if they can establish a ten-year history of compliance with the VRA, must be available to any political subunit of a covered State when the Court's precedent requires ""political subdivision"" to be given its ordinary meaning throughout most of the VRA and no statutory text abrogates that interpretation with respect to §4(a).
2. Whether, under the Court's consistent jurisprudence requiring that remedial legislation be congruent and proportional to substantive constitutional guarantees, the 2006 enactment of the §5 preclearance requirement can be applied as a valid exercise of Congress's remedial powers under the Reconstruction Amendments when that enactment was founded on a congressional record demonstrating no evidence of a persisting pattern of attempts to evade court enforcement of voting-rights guarantees in jurisdictions covered only on the basis of data 35 or more years old, or even when considered under a purportedly less stringent rational-basis standard
Whether §4(a) of the Voting Rights Act, which permits ""political subdivisions"" of a State covered by §5's requirement that certain jurisdictions preclear changes affecting voting with the federal government to bail out of §5 coverage if they can establish a ten-year history of compliance with the VRA, must be available to any political subunit of a covered State when the Court's precedent requires ""political subdivision"" to be given its ordinary meaning throughout most of the VRA and no statutory text abrogates that interpretation with respect to §4(a).",2,2
